"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-2,03906468834919;0,23266320165608;-8,76401886432954;1,88410284686776e-18
"knn";-1,21396918289904;0,28559587435859;-4,25065378001502;2,13147431765034e-05
"rf";2,7131606919457;0,179933944680076;15,0786484271754;2,23803579523268e-51
"glm";9,45558751291171;5,87860736745121;1,60847406909085;0,107731390966894
"lda";-9,10760579477086;5,98067688785428;-1,52283862939776;0,127799082842746
"qda";-0,0871363552355754;0,0722286402907143;-1,20639617310888;0,227664770916122
"cart";0,0714923874413825;0,0977834071078733;0,731130051160041;0,464699720364315
"xgbTree";1,71071634623243;0,105428812334457;16,2262697298101;3,28846300182381e-59
"treebag";0,564463452068869;0,113758918112855;4,9619270421409;6,97972143554586e-07
