"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-3,96625676810674;0,238946712920881;-16,598917472533;7,09591461826697e-62
"knn";0,347511388408754;0,0818046044462891;4,24806636204593;2,15623529250067e-05
"rf";9,34517265689312;0,309597015454326;30,1849571875856;3,7320915102022e-200
"glm";28,3094153094564;25,0537675656577;1,12994643361589;0,258498796489541
"lda";-29,631106393195;25,4048247036829;-1,16635744347015;0,243469957042019
"qda";-0,135150876165384;0,196005623142375;-0,689525504414802;0,490492629056166
"cart";-1,55005356657841;0,129626577264707;-11,9578376540259;5,90803833206679e-33
"svmRadial";-0,518430557447913;0,140383859131602;-3,69294989220886;0,00022166771261843
"xgbTree";-0,82136954620037;0,156439679305225;-5,25039139589271;1,51776368825947e-07
"treebag";2,59039426171511;0,202188141122963;12,8118011636485;1,40827237452915e-37
