"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-2,45415682338364;0,262331369706245;-9,35517862820512;8,34585720251263e-21
"knn";-2,14760708991228;0,304461572128689;-7,05378703426171;1,74112796680607e-12
"rf";2,39642960721349;0,180697857730075;13,2620808974574;3,84088047394636e-40
"glm";-200,745183749306;124,122833990958;-1,61731066955762;0,105811237333481
"lda";200,521498194935;124,418786363995;1,61166576250227;0,10703469183135
"qda";0,24229708731275;0,089465257107161;2,7082813501841;0,0067632660475652
"cart";-0,300342760292626;0,103483526859662;-2,90232435448333;0,00370404808747945
"svmRadial";1,05140868983985;0,208972039256552;5,0313366973897;4,87071886139599e-07
"xgbTree";2,19201975793383;0,107907936694686;20,3137954915765;9,71027379889426e-92
"treebag";1,57150498411459;0,107229464687656;14,6555332407203;1,24177899782835e-48
