"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";1,20619058621336;3,68575425822701;0,327257462572555;0,74347316253174
"knn";-0,0115669162759476;0,338975090835099;-0,0341232042963726;0,972778904905044
"rf";0,383507798716865;0,174101026083992;2,20278884819351;0,0276096345360696
"glm";15,6915196009385;29,7776199602909;0,526956809236718;0,598223582020693
"lda";-17,8924541847527;29,979404804905;-0,5968248636419;0,550624315964736
"qda";-0,0532832436337973;0,060203408796828;-0,885053599101263;0,376127723755733
"cart";-0,3650947559961;0,402685303554634;-0,906650311728017;0,364591747100898
"svmRadial";2,43218429515671;0,77218176730853;3,14975618193393;0,00163406773039279
"xgbTree";1,55469164505566;0,15715508854117;9,89272227509439;4,47685192125089e-23
"svmLinear";-3,84231454901212;6,72802722036142;-0,571090815058521;0,567938084380872
"treebag";0,0544839664220952;0,0995531507636072;0,547285203975808;0,58418280735236
