"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-2,02645516706855;0,254110430946805;-7,97470280742931;1,52747927972522e-15
"knn";0,189424516366531;0,040802755348304;4,64244423567843;3,44311582643402e-06
"rf";1,8916352487519;0,169775877285598;11,1419553766745;7,83792938246358e-29
"glm";-74,5555170896154;58,2788768401895;-1,2792888458379;0,200795359020632
"lda";74,9968163070491;58,3331417440545;1,28566393073956;0,198560374494144
"qda";-0,0424630730750274;0,109875182070304;-0,386466463808518;0,699151235004115
"cart";-0,0234887306629625;0,121130026162932;-0,193913362417406;0,84624372059787
"xgbTree";1,34196229740266;0,113032414438029;11,8723669141687;1,64739794192735e-32
"treebag";0,260086220069355;0,110558512936235;2,3524757448516;0,018648905977345
