"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";2,74970929780768;1,92808430525844;1,42613540824352;0,153829259808899
"knn";-0,221994074795511;0,256005946491724;-0,867144212225115;0,385862998651995
"rf";0,673831988659869;0,192015068797815;3,50926618873537;0,000449344943292658
"glm";-107,847036287612;194,429383797414;-0,554684863888593;0,579110230993364
"lda";108,478641616155;194,756647117259;0,556995836711246;0,577530273699775
"qda";-0,0887173977483564;0,110419104812196;-0,803460577761881;0,421708573694107
"cart";-0,306088991838731;0,125768236029454;-2,43375435246661;0,0149431324455427
"svmRadial";1,21634166343906;1,35022327851816;0,900844832696089;0,3676708265902
"xgbTree";1,44388301471467;0,14487401300902;9,96647352223741;2,13681408510472e-23
"svmLinear";-8,28086285864968;3,2282085914715;-2,56515730753169;0,0103129037812271
"treebag";-0,024827675430992;0,1000046093152;-0,248265310979205;0,803929136762217
