"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-4,0506761133571;0,366580908461778;-11,0498829040341;2,1950099830707e-28
"knn";0,0960179323597163;0,0604745505297326;1,58774114927086;0,11234488400849
"rf";8,66277253487755;0,240320280419932;36,0467810695808;1,54894897633675e-284
"glm";-157,307494364919;112,678716437762;-1,39607105350554;0,162693099572067
"lda";156,769191652027;113,31745868212;1,38345135405656;0,166526513486409
"qda";-0,425379951007278;0,165267010562403;-2,57389511409271;0,0100560753016475
"cart";-1,22431115947982;0,114941714431304;-10,6515825480534;1,71425655203382e-26
"xgbTree";-0,422809588556149;0,124075563223043;-3,40767817266396;0,0006551811871053
"treebag";1,95758748418378;0,159659141483285;12,2610422804305;1,46601997049529e-34
