"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-2,2120666412542;0,249699907493233;-8,85890052367821;8,0807436083288e-19
"knn";0,255746979450906;0,0414484612908105;6,17024061898307;6,81861464969858e-10
"rf";4,13697903150112;0,183731618133416;22,5164240838345;2,86581994744157e-112
"glm";-562,17746148324;311,347357895346;-1,80562785335151;0,070976488916205
"lda";561,780817611125;311,407810727732;1,8040036192358;0,0712307395797552
"qda";-0,12027272338349;0,0930164823339236;-1,2930259279395;0,196002091764991
"cart";-0,232529100265182;0,114274999016787;-2,03482040923951;0,0418689467120212
"xgbTree";0,709862653102111;0,10911388237289;6,50570429412635;7,73302111147532e-11
"treebag";0,107748783909676;0,113534432180622;0,94904058478276;0,342599971022222
