"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-1,92709877572177;0,270789945421902;-7,1165817206369;1,10636589627243e-12
"knn";0,367050003043144;0,333521540344171;1,10052862751945;0,27110186354457
"rf";0,482462640827824;0,175641809790626;2,74685532677524;0,00601696695107168
"glm";-148,040341169405;84,3533883431286;-1,75500171453948;0,0792590144879078
"lda";149,956563797339;84,5531623823833;1,77351809881664;0,0761428955596346
"qda";0,0423268202794494;0,140066817380802;0,302190205153122;0,762507070574445
"cart";0,195803427546323;0,319977831622857;0,611928103122805;0,540585327047656
"xgbTree";1,0798869529002;0,109514240755099;9,8606988959098;6,16189747843552e-23
"treebag";-0,221829867731269;0,107392181631118;-2,06560537612724;0,0388657563956444
