"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-2,56639184159863;0,180358299304379;-14,2294080810082;6,01890670293279e-46
"knn";-1,97869842370186;0,293111210491279;-6,75067466844886;1,47159239854132e-11
"rf";2,90065589583093;0,17571023881625;16,5081779830959;3,20411806528152e-61
"glm";3,58546743906569;4,8131801447361;0,744926915521106;0,456315902852522
"lda";-4,12073063382335;4,85303405388697;-0,849104001345902;0,395823424089063
"qda";0,118184727113437;0,0845775679090845;1,39735310479108;0,162307413776273
"cart";-0,379681965970208;0,101758317187438;-3,73121309849136;0,000190559943906653
"svmRadial";1,28534218084736;0,163688692659605;7,85235778943058;4,08287730516385e-15
"xgbTree";1,71000189435562;0,111846441490994;15,2888359393473;9,0757880780255e-53
"treebag";1,97535132768597;0,108097466488644;18,2737985620921;1,33804259301095e-74
