"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-2,46287360252587;0,200661980430862;-12,2737431238224;1,25322845061985e-34
"knn";0,202309196151014;0,0417242314946748;4,84872192737293;1,24259462137726e-06
"rf";2,95578212347545;0,172897472066158;17,0955774434021;1,60102330498195e-65
"glm";-1,15526302953753;3,81755873163949;-0,30261827276234;0,762180787403417
"lda";0,770338539807437;3,82951897018004;0,201158042512901;0,840574998070662
"qda";0,00497435589738144;0,0648248769971402;0,0767352924958253;0,938834127950318
"cart";-0,463833099620258;0,139614691205672;-3,32223704837026;0,000892987945747777
"xgbTree";1,86828893610365;0,105238274656054;17,7529415244568;1,63558315629546e-70
"treebag";0,70153707990005;0,111530720936762;6,29007930736701;3,17303823705548e-10
