"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-2,11466814009895;0,271151186305173;-7,79885262135252;6,2472572322483e-15
"knn";-0,772772484557783;0,299475588180306;-2,58041895585999;0,00986805157317285
"rf";2,76765049818787;0,178819474359999;15,4773438860246;4,93428453977309e-54
"glm";-14,8972334043257;9,34146776411661;-1,59474225897888;0,110769883867168
"lda";15,4759122630662;9,46408673088474;1,63522510973644;0,102001866204971
"qda";-0,0751680849232923;0,124611062940815;-0,603221601271419;0,546361279329481
"cart";-0,0276707442654444;0,125102599994456;-0,221184405972942;0,824948850810789
"xgbTree";1,54475458333372;0,108616912914381;14,2220446326936;6,68702214154851e-46
"treebag";0,218216271309121;0,111692131283589;1,95373003273673;0,0507331525884843
