"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-0,0596468792571897;3,83991521055136;-0,0155333844594514;0,987606650755138
"knn";-0,14031482059591;0,346485314599573;-0,404966140507482;0,685502399857088
"rf";0,175203976330705;0,173887976485841;1,00756808993617;0,313661854432309
"glm";-1,43355132564739;37,7792089643991;-0,0379455093143502;0,969731127972002
"lda";-0,284325811888795;37,9377260535864;-0,00749454017057294;0,994020278085937
"qda";-0,0440823661250029;0,0619125487027716;-0,712010199041111;0,476458460396127
"cart";-0,928853918931873;0,542249555020988;-1,71296391178398;0,0867191789915338
"svmRadial";0,636168182477528;1,03076068722326;0,61718320301028;0,537113893557728
"xgbTree";2,37185794860038;0,246618295618695;9,61752631794839;6,74333019381118e-22
"svmLinear";-0,230031043409917;6,97273394597629;-0,0329900789549929;0,973682499183472
"treebag";0,20177175124185;0,0986791112104604;2,04472606985197;0,040881871946547
