"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-3,41715592909864;0,177806055930335;-19,2184451267368;2,59428213222051e-82
"knn";-0,0175388284399242;0,066427512433228;-0,264029583488528;0,791757123023679
"rf";5,06277866944842;0,206692831188966;24,4942151129559;1,70243074553954e-132
"glm";-144,321955738222;66,2926835723971;-2,17704198956753;0,029477434664003
"lda";143,449817939885;66,4513507915269;2,1587193673447;0,0308719453119855
"qda";-0,188932794896987;0,0909642181828302;-2,07700125028557;0,0378014438246256
"cart";-1,43047839085794;0,112046992564695;-12,7667718527295;2,51364909258424e-37
"svmRadial";0,583583491166571;0,139796780537586;4,17451309624165;2,98624041784927e-05
"xgbTree";1,29888911176292;0,108642173665108;11,9556620412141;6,06483057448461e-33
"treebag";2,24024767946482;0,125727887171233;17,8182241813525;5,10309239542046e-71
