"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-3,19804876589587;0,256200760963645;-12,4825888645572;9,29156332632266e-36
"knn";0,135378147164177;0,0499790960183955;2,70869539365716;0,00675483243651059
"rf";6,32657458222655;0,209698219068705;30,1699013483454;5,88150774187425e-200
"glm";-100,498767407702;177,174475609337;-0,567230505760307;0,570557584769537
"lda";99,7516470056885;177,516407709946;0,561929166393893;0,574164280897309
"qda";-0,209656540380597;0,135780161958925;-1,54408815953557;0,122566976878811
"cart";-0,275227381320474;0,0937955891850404;-2,93433181359418;0,00334266654033602
"xgbTree";0,245217131216545;0,110659440426123;2,21596214721738;0,0266940946548762
"treebag";0,87067430001201;0,123230487955974;7,06541306825851;1,60138912757618e-12
