"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-2,51400115977561;0,185508733901878;-13,5519288332017;7,71752194387061e-42
"knn";0,241742520164126;0,0421564649130552;5,73441157038911;9,78514602889171e-09
"rf";4,49400165881196;0,187107440411366;24,0182947772235;1,79092386776711e-127
"glm";-116,942224012671;67,1823826762387;-1,74066800482847;0,0817417897102168
"lda";116,149268541472;67,2136464905864;1,72806081214087;0,083977322298044
"qda";-0,117792224302871;0,0759610814948659;-1,55069177511424;0,120975566522707
"cart";-0,249856166806024;0,0883724766380327;-2,82730750920806;0,00469412271077435
"xgbTree";1,01442547563167;0,103107089564229;9,83856182847396;7,68008093795264e-23
"treebag";0,444349141158538;0,115830719474505;3,83619425981674;0,000124955583247009
