"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-3,44726148291628;0,119490581892505;-28,8496501424477;5,11833007975792e-183
"knn";0,428165311561662;0,0608586587947811;7,03540498658474;1,98683067923235e-12
"rf";6,6460362243475;0,239872056615784;27,7065879123754;5,81600628823273e-169
"glm";16,8965747973292;11,4626502601046;1,47405481401951;0,140466833300111
"lda";-19,464808837134;11,5689963333849;-1,68249762349427;0,0924723853664305
"qda";-0,293866383134866;0,156614988115678;-1,87636181358205;0,060605614402961
"cart";-1,84535905669096;0,125525083520155;-14,7011179354815;6,34042454331657e-49
"xgbTree";0,772683025633126;0,121930161464128;6,33709507438365;2,34137525347075e-10
"treebag";3,72749906761108;0,152240014127022;24,4843583928009;2,16808065711434e-132
