"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,511424460076576;0,0160951244543211;0,00312117376673468;0,00599466744982628;"3"
"knn";0,510455426796221;0,0127790983613377;0,000772137405124013;0,000835807080103743;"5"
"knn";0,51295597574968;0,0157706594447384;0,00257348532155981;0,00587388354009924;"10"
"knn";0,514956727930224;0,0157313598641648;0,00987886322083805;0,0196624811092723;"20"
"knn";0,513956287360635;0,0105833668840735;0,0065988617158498;0,0139950658409364;"30"
"knn";0,521395392214205;0,0220273168598977;0,0034956692270061;0,00632334857031966;"50"
"knn";0,52530249299315;0,0232578387610858;0,00260502066808508;0,00432150539890418;"100"
"knn";0,526552708852319;0,0176962747354145;0,00113619450322644;0,00135866299953807;"200"
"rf";0,533272954314528;0,0257205864993635;0,00238363938496045;0,00513356503416605;"1"
"rf";0,527271468593825;0,0364580460797594;0,00350966404802391;0,00578866806918086;"2"
"rf";0,528584308524388;0,0406572389964131;0,00202939830825506;0,00246476928882138;"3"
"glm";0,533116644726114;0,0000239415561579976;0,000822129651769884;0,00137615638893394;"none"
"lda";0,532991619330055;-0,000333544809345787;0,000827565441749833;0,00135852223794241;"none"
"qda";0,507954150985004;-0,00367511115243618;0,0367303022430458;0,00414379938576875;"none"
"rpart";0,522457961536798;0,0195931376046261;0,00622912848670529;0,00743183707811646;"0.000402063928164578"
"rpart";0,523333080691645;0,0197668668045146;0,00739215569199364;0,0111527712865642;"0.00042440081306261"
"rpart";0,522770451754992;0,0182622994927832;0,00859403006404493;0,0134682770383627;"0.000435569255511626"
"rpart";0,524927238021414;0,0211497975481273;0,00493958323890079;0,00937685102938974;"0.000446737697960642"
"rpart";0,524864722392506;0,0200940727399685;0,00570841743617522;0,0115382801880005;"0.00045232191918515"
"rpart";0,524864722392506;0,019960609447124;0,00570841743617522;0,0113546884834324;"0.000455672451919855"
"rpart";0,524520886433516;0,0197118323522002;0,00621936216032525;0,0113654568830792;"0.000469074582858675"
"rpart";0,526146198997007;0,0230843200903839;0,00639968805287501;0,0138681689392446;"0.000502579910205723"
"rpart";0,526427495880065;0,0246003202064054;0,00669798363982517;0,0135652378575699;"0.000536085237552771"
"rpart";0,526865034941342;0,0228883679693587;0,00794850889431106;0,0122913023512313;"0.000562889499430409"
"rpart";0,527959064308975;0,0239128714543171;0,0066520052040222;0,00870862028443302;"0.000603095892246867"
