"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,541209281684492;0,0779245857223176;0,000983990623160792;0,0020371920271248;"3"
"knn";0,542495107541203;0,0796511649468631;0,00263957461810631;0,00528795487884203;"5"
"knn";0,535595446136898;0,0640338690266749;0,00385261536963418;0,00754795592238386;"10"
"knn";0,535532721700887;0,0613068500852584;0,0037424750478368;0,00762312765717763;"20"
"knn";0,536661882530495;0,0616643930500516;0,00191289291874836;0,0039049402077999;"30"
"knn";0,535752471157471;0,0574706321561146;0,00666333164993718;0,0130759390334877;"50"
"knn";0,537195003352011;0,056205555275472;0,00221350183334395;0,00436286805793864;"100"
"knn";0,538637647675666;0,0543410468662654;0,000190425829533694;0,00035765300372096;"200"
"rf";0,571912487381491;0,121135954152068;0,00179943147091815;0,00454304605255152;"1"
"rf";0,581164107107193;0,151181981115639;0,00165111956935251;0,00325714080898;"2"
"rf";0,584174773808136;0,157454213421171;0,00635898298456756;0,0127372929263606;"3"
"glm";0,530232744394639;0,0174203677276982;0,00145907687766538;0,00347568886788684;"none"
"lda";0,530138644462175;0,0171642694047925;0,000935406075931899;0,00282820916182209;"none"
"qda";0,529354537373631;0,00191508364501257;0,00147976879048373;0,00286368865295981;"none"
"rpart";0,540425325085021;0,058892408319382;0,00360341671252892;0,0188612598256079;"0.000574367194283043"
"rpart";0,539641306519462;0,0580566036189065;0,00496037133383863;0,0202838261345247;"0.000578819653153454"
"rpart";0,539170812758674;0,0547239237232262;0,00444612826706531;0,0176875125787005;"0.00060108194750551"
"rpart";0,538857175824788;0,0542367421464386;0,00442257701038331;0,0175616818385586;"0.000634475389033594"
"rpart";0,53913938414843;0,0552230314607278;0,00562931971260517;0,0200111160166694;"0.000667868830561678"
"rpart";0,540174353571824;0,0565242283999981;0,00561901161496196;0,0200382539588632;"0.000701262272089762"
"rpart";0,540550726744785;0,0553310861075803;0,00547212169320587;0,0158550344399492;"0.000768049155145929"
"rpart";0,540205767428237;0,0533455617782273;0,0060032761609622;0,0198608682314077;"0.000801442596674013"
"rpart";0,540205767428237;0,0533455617782273;0,0060032761609622;0,0198608682314077;"0.000823704891026069"
"rpart";0,540362582944414;0,0473626677154964;0,00433986758127713;0,0138872033792532;"0.000968409804314433"
"rpart";0,540613468885393;0,0481480932525365;0,0046559357494457;0,0147860214691784;"0.000979540951490461"
"rpart";0,540111676348071;0,0472977244913783;0,00476996009841456;0,0143778063086231;"0.0010351966873706"
"rpart";0,540111676348071;0,0472977244913783;0,00476996009841456;0,0143778063086231;"0.00106859012889868"
"rpart";0,535438592260761;0,0296785455533566;0,00530748245633803;0,0288349722100662;"0.00120216389501102"
"rpart";0,535438592260761;0,0296785455533566;0,00530748245633803;0,0288349722100662;"0.00124668848371513"
"rpart";0,535469953003384;0,0297651172226154;0,00515104207544329;0,0283664776050813;"0.00130234421959527"
"rpart";0,535344510032894;0,0285394089547097;0,00510909207347354;0,0271736675780812;"0.00152274093368063"
"rpart";0,533462865475551;0,0197019158580843;0,00307979700460395;0,0181470396467227;"0.00200360649168503"
"rpart";0,532333878741145;0,0182128488693086;0,0030860627918362;0,0171135935965202;"0.00253790155613438"
"rpart";0,532239796513278;0,0178825286897603;0,0029233483567487;0,0166612722345173;"0.0029052294129433"
"xgbTree";0,545255147968588;0,0691682104169895;0,00525792994436561;0,00983280113618894;"0.3; 2; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,546948628070197;0,0685130266788822;0,00407647426004667;0,00768379857281313;"0.3; 2; 0; 0.6; 1; 1; 100"
"xgbTree";0,546384052081542;0,0720738021144666;0,00297992168543499;0,0026695237260792;"0.3; 2; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,547889406087376;0,0709280621004001;0,00273096607209476;0,00468216028310423;"0.3; 2; 0; 0.8; 1; 1; 100"
"xgbTree";0,548642096368741;0,0778963063709016;0,00431883684544476;0,00840048386788987;"0.3; 2; 0; 1; 1; 0.5; 100"
"xgbTree";0,551997778450789;0,0792339277428517;0,00107575091122965;0,00174610863900707;"0.3; 2; 0; 1; 1; 1; 100"
"xgbTree";0,550617802498588;0,0887190453007145;0,00118204082429055;0,00238347977269408;"0.3; 4; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,559744106136745;0,104065948962169;0,00300417545489142;0,00490643835066033;"0.3; 4; 0; 0.6; 1; 1; 100"
"xgbTree";0,547387474864046;0,0833870082829247;0,00487658022946859;0,0105989746391201;"0.3; 4; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,558050617182838;0,101090324696466;0,00173736999903354;0,00331150125406336;"0.3; 4; 0; 0.8; 1; 1; 100"
"xgbTree";0,553126948132696;0,0950730188066619;0,00510370016079125;0,0113574244079827;"0.3; 4; 0; 1; 1; 0.5; 100"
"xgbTree";0,560653735866465;0,10642977250826;0,00436148756717717;0,00879747818051201;"0.3; 4; 0; 1; 1; 1; 100"
"xgbTree";0,553910615557084;0,0988311140503074;0,00558712510478743;0,0103832082719436;"0.3; 6; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,567960992500345;0,124710566716432;0,00591283304853541;0,0121278717932571;"0.3; 6; 0; 0.6; 1; 1; 100"
"xgbTree";0,562033198385355;0,115671991219933;0,0104366866211292;0,0211562546303592;"0.3; 6; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,570501189046629;0,129900869900777;0,00102965414220728;0,00261090628873379;"0.3; 6; 0; 0.8; 1; 1; 100"
"xgbTree";0,560998462072487;0,114800701682557;0,00379048692174243;0,00778214260881689;"0.3; 6; 0; 1; 1; 0.5; 100"
"xgbTree";0,56952891750235;0,129031628249646;0,00280132206347943;0,00601668426654761;"0.3; 6; 0; 1; 1; 1; 100"
"treebag";0,570375746076139;0,131863566853633;0,0020858631799532;0,00364367947851622;"none"
"adaboost";0,566486774978905;0,125568369798747;0,00399684063750125;0,00810019507531139;"Real adaboost; 50"
