"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,502098909170304;-0,00285464639292238;0,0054422114385871;0,0114524316001716;"3"
"knn";0,507518373040015;0,0065313311017076;0,00209799345276707;0,00457828476870263;"5"
"knn";0,508552081029564;0,0069026248351032;0,00229176474562163;0,00577027478181346;"10"
"knn";0,514754540943092;0,0153669410717865;0,00719344558942515;0,0145193425680399;"20"
"knn";0,516227228158734;0,0154664265684992;0,00697191246302446;0,0142054530523978;"30"
"knn";0,521145324075154;0,021163272155742;0,00404751837321248;0,00879767146040515;"50"
"knn";0,523212795992424;0,0170492237227653;0,00276229902110616;0,00437357110903325;"100"
"knn";0,523150151127278;0,00673030138372384;0,000917774966150919;0,00342969184439843;"200"
"rf";0,536150609349235;0,0297498633626789;0,000647604122259387;0,00380338182478222;"1"
"rf";0,525186347717805;0,0303794344014621;0,00193598472585309;0,00360233449403631;"2"
"rf";0,524904434048188;0,0305467114128127;0,00057610095844974;0,00101804616351875;"3"
"glm";0,532485466673921;-0,0000949037290336964;0,00180513437755301;0,00141942803318989;"none"
"lda";0,532516792050609;-0,0000235987518046667;0,00175088262881444;0,00129768326627854;"none"
"qda";0,527159870002042;0,00192056115057567;0,00323851528702776;0,00868996860713828;"none"
"rpart";0,513407788218785;0,00887232903249176;0,00555230722066815;0,0106032994677275;"0.000290983973498075"
"rpart";0,513407788218785;0,00887232903249176;0,00555230722066815;0,0106032994677275;"0.00029546065001343"
"rpart";0,514880116252477;0,0114386224843853;0,00593849572510209;0,0114150907167482;"0.000302175664786463"
"rpart";0,514880116252477;0,0114386224843853;0,00593849572510209;0,0114150907167482;"0.00031336735607485"
"rpart";0,514880116252477;0,0114386224843853;0,00593849572510209;0,0114150907167482;"0.000318963201719044"
"rpart";0,515036725471229;0,0112479071893569;0,00529377206869998;0,00947003219408193;"0.000335750738651625"
"rpart";0,515068065568488;0,0107647041927683;0,00503418576895064;0,00897392614765679;"0.000369325812516788"
"rpart";0,515193372963468;0,0103960788722695;0,00514267644287007;0,00868156788155793;"0.000380517503805175"
"rpart";0,515193372963468;0,0103960788722695;0,00514267644287007;0,00868156788155793;"0.000391709195093563"
"rpart";0,516446455745604;0,0124220204492772;0,00486779881026641;0,00702336108254776;"0.00040290088638195"
"rpart";0,516885019851574;0,0128291829017014;0,00518052217773849;0,00723462865169442;"0.000425284268958725"
"rpart";0,51873319941146;0,0124844191958794;0,00331302293429068;0,00650161346477313;"0.000436475960247113"
"rpart";0,51873319941146;0,0124844191958794;0,00331302293429068;0,00650161346477313;"0.0004476676515355"
"rpart";0,51973565562718;0,0117525658229775;0,00322560364655394;0,00404379243339426;"0.000453263497179694"
"rpart";0,51973565562718;0,0116075405904781;0,00322560364655394;0,00390261070248731;"0.000470051034112275"
"rpart";0,519673019594376;0,00997183343759429;0,00287830604085583;0,00333051530787762;"0.000503626107977438"
"rpart";0,519673019594376;0,00997183343759429;0,00287830604085583;0,00333051530787762;"0.00051034112275047"
"rpart";0,521239323758131;0,00779248606911743;0,00220326021260988;0,00827435090500371;"0.0005372011818426"
"rpart";0,522461010504836;0,00322900973463579;0,00485079033683167;0,00762130201609382;"0.000570776255707763"
"rpart";0,522461010504836;0,00322900973463579;0,00485079033683167;0,00762130201609382;"0.000595957561106635"
"svmRadial";0,532673389492903;0,000339992213762096;0,000070447381098826;0,000553430630101678;"0.190402270373284; 0.25"
