"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,510960784701919;0,015817250528853;0,00770492973886173;0,0159464634023267;"3"
"knn";0,514487479490184;0,0214620982413418;0,00744393640647004;0,0152350419929542;"5"
"knn";0,518394490852303;0,0273441944506524;0,0051880922668405;0,0109169927713576;"10"
"knn";0,518740089403213;0,0246798531695369;0,00462501417291217;0,00920995318835427;"20"
"knn";0,522024981052137;0,028948798387356;0,00812717977937247;0,0165657250340459;"30"
"knn";0,524998278445143;0,0314793848219031;0,00023880396250983;0,00206165695270525;"50"
"knn";0,52558607107181;0,0273870076849563;0,00163564713334532;0,00380909757136105;"100"
"knn";0,531671380140401;0,0330262965680845;0,000394685087533514;0,00167019076613614;"200"
"rf";0,534644878381474;0,0374039370171705;0,000803305194072583;0,00121168482073908;"1"
"rf";0,531498679495694;0,04764783260048;0,00519837380787676;0,010348903612075;"2"
"rf";0,530392282814736;0,0461767578148533;0,00502304794574465;0,0102158116494338;"3"
"glm";0,531567645700567;0,0165497067154886;0,0009126400895941;0,00196729046994213;"none"
"lda";0,531636798407217;0,0166407263885937;0,000852774700573114;0,00184320229344231;"none"
"qda";0,527556795888009;0,00436635179543325;0,00286887807076973;0,00580293850912614;"none"
"rpart";0,528594029102598;0,0399662044043541;0,00767361664573914;0,00940225643448327;"0.000467508181393174"
"rpart";0,528524879982521;0,039954278104563;0,00774595900248417;0,00941263334183612;"0.000472429320144682"
"rpart";0,528524879982521;0,039954278104563;0,00774595900248417;0,00941263334183612;"0.000479811028271942"
"rpart";0,529492971250177;0,0398141774231149;0,00980534002908231;0,0148749326141597;"0.000516719568908245"
"rpart";0,530322760691107;0,0413004538285052;0,00899729835803948;0,0138752060279733;"0.000535173839226397"
"rpart";0,529734971651013;0,0390741037854801;0,00817041276284507;0,0119394436199816;"0.000590536650180852"
"rpart";0,532258936053275;0,0409043058843019;0,00718509145702625;0,0106309831548721;"0.000615142343938387"
"rpart";0,533884058731992;0,0438053916109976;0,0054827879951666;0,00684573458589149;"0.000664353731453458"
"rpart";0,534679291545745;0,0434600632283716;0,00579742907618044;0,00988468158204092;"0.000719716542407913"
"rpart";0,534437269625474;0,0430842515973316;0,00547899039380699;0,00953205134188376;"0.000738170812726065"
"rpart";0,533849494931671;0,04232466501344;0,0047996318145249;0,00833217316347377;"0.000775079353362368"
"rpart";0,534817611305336;0,0451866036540139;0,00473181782660235;0,010608997192451;"0.000811987893998671"
"rpart";0,535197945812052;0,0447783007181986;0,00505553155155491;0,0131280097529523;"0.000959622056543884"
"rpart";0,53471390197151;0,0437965022187044;0,00513695699686435;0,0137981253202274;"0.00101498486749834"
"rpart";0,53471390197151;0,0437965022187044;0,00513695699686435;0,0137981253202274;"0.00103343913781649"
