"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,551501506024096;0,0997904068477103;0,00755630642710399;0,0148713628012962;"3"
"knn";0,549022847271439;0,0942753277364487;0,00615720337234773;0,0121696815651803;"5"
"knn";0,54394004842901;0,0831633893634274;0,00398857836726125;0,00804975083101258;"10"
"knn";0,544724415308292;0,0828746329005963;0,00401742422843974;0,00838914986067561;"20"
"knn";0,544222360028349;0,0806289551653241;0,00372334222098161;0,00823727107135745;"30"
"knn";0,54186930368533;0,0741129275361391;0,00466731044194494;0,00985356188666387;"50"
"knn";0,540049784431845;0,0678956777032104;0,00588621582478994;0,0102228608620028;"100"
"knn";0,533209954523978;0,0503720670088722;0,000798054138377966;0,000536145304050195;"200"
"rf";0,585699557051736;0,15993837318751;0,00234658419098859;0,00391329423906073;"1"
"rf";0,595927421450508;0,183737369612902;0,00519863384641651;0,0109791586492852;"2"
"rf";0,59934735707536;0,191327028244715;0,00166642404016533;0,00388785968062884;"3"
"glm";0,523891775927238;0,00986462540474109;0,00231169441901686;0,00126483616155959;"none"
"lda";0,52386040042523;0,00978889805354637;0,00225181948436978;0,00105695161154732;"none"
"qda";0,523232789983463;0,00312738394111522;0,00124783654658149;0,00218463963554823;"none"
"rpart";0,536065145877628;0,0610894381195681;0,00631213614648278;0,0144252723307082;"0.0006293057763646"
"rpart";0,535123880817387;0,0577358801988319;0,00484522525549401;0,0119819753791629;"0.000662427133015368"
"rpart";0,535312116111505;0,0578628806708476;0,00465106554670411;0,0119121583391945;"0.000684508037449214"
"rpart";0,535939626151665;0,0591439398872129;0,00661827259539661;0,0151663191375346;"0.000695548489666137"
"rpart";0,535720018308528;0,0583600857727361;0,006810779402245;0,0156054148198111;"0.000728669846316905"
"rpart";0,53609649480274;0,0598156590518243;0,00648345534181128;0,0146177024029795;"0.000750750750750751"
"rpart";0,535155291755256;0,0577195735128497;0,00730754379022396;0,0160999969725122;"0.000816993464052288"
"rpart";0,533931691471769;0,0542928898761284;0,00635143726586224;0,0141729892511424;"0.000861155272919979"
"rpart";0,533743456177652;0,0539386204581903;0,00677862561639572;0,0153438630222236;"0.000927397986221516"
"rpart";0,532174784431845;0,0504307930341496;0,00800210207590591;0,0164683384080466;"0.000993640699523053"
"rpart";0,532174784431845;0,0504307930341496;0,00800210207590591;0,0164683384080466;"0.00101020137784844"
"rpart";0,531233578431373;0,0475575229012077;0,0083462841411743;0,0164800392034818;"0.00104332273449921"
"rpart";0,531013949917316;0,045637385522583;0,00800166356740241;0,0133099469193184;"0.00105988341282459"
"rpart";0,531233584337349;0,0467593663442059;0,00788843201031723;0,0124620461434953;"0.00112612612612613"
"rpart";0,531108082329317;0,0457712673326275;0,00770470097608421;0,0109736694991685;"0.00114820703055997"
"rpart";0,530919829317269;0,0415738476705505;0,00769604502645017;0,0129806660722939;"0.00122549019607843"
"rpart";0,531641430427593;0,0413152654460604;0,00713809965164234;0,0132869881540266;"0.0012586115527292"
"rpart";0,534245443538861;0,0368122656540326;0,00445998979592179;0,0250956589652154;"0.00165606783253842"
"rpart";0,53208062248996;0,0285748677565691;0,00537484303474838;0,0307019847766725;"0.00205352411234764"
"rpart";0,530700100401606;0,0171489460832053;0,00372518555203069;0,0148873093943474;"0.00237148913619502"
"xgbTree";0,535186625915426;0,0549076181302725;0,0032302118015342;0,00723663360995552;"0.3; 2; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,539547643515237;0,0594712624869956;0,0040745976450706;0,00936741732484556;"0.3; 2; 0; 0.6; 1; 1; 100"
"xgbTree";0,540614363335696;0,0656504314167132;0,00140060021874734;0,000200164122331595;"0.3; 2; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,545634316678479;0,0727609217158982;0,00417540013125633;0,00890462837565814;"0.3; 2; 0; 0.8; 1; 1; 100"
"xgbTree";0,538825865225608;0,0630358926814345;0,00327124723002868;0,00668116037494573;"0.3; 2; 0; 1; 1; 0.5; 100"
"xgbTree";0,542904813371132;0,0665260039214261;0,00459693750965467;0,00957094402984433;"0.3; 2; 0; 1; 1; 1; 100"
"xgbTree";0,540237813016773;0,0710590721649808;0,00193628472120156;0,00452784038635287;"0.3; 4; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,553823222300969;0,0959320520194973;0,00676651102869935;0,0136576172162937;"0.3; 4; 0; 0.6; 1; 1; 100"
"xgbTree";0,545791084927947;0,0829445807810947;0,00142712171322134;0,00344901092991046;"0.3; 4; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,556709609024333;0,101598241786288;0,00505195234361799;0,00862706914176575;"0.3; 4; 0; 0.8; 1; 1; 100"
"xgbTree";0,549211120954406;0,0896214545585288;0,00527684654270377;0,0100653384493746;"0.3; 4; 0; 1; 1; 0.5; 100"
