"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,510118825583067;0,0139627739976367;0,00325879558812877;0,00620399002390802;"3"
"knn";0,511245013817159;0,0143373957983736;0,00546461051968986;0,0111580847572415;"5"
"knn";0,509539628422941;0,00903892049741945;0,00104935842772722;0,00158051286574597;"10"
"knn";0,512177847529165;0,0106391485218213;0,00382285901916666;0,00753853209788875;"20"
"knn";0,514622979177559;0,0126155098863405;0,00295493334328937;0,0060184924799635;"30"
"knn";0,520446594787875;0,0197143124237566;0,00466348003283677;0,00918303706432096;"50"
"knn";0,524918691355329;0,0211900013284054;0,00747585405362677;0,0149390935128473;"100"
"knn";0,530002125955702;0,0238507014366556;0,00489450210437304;0,00906298041159772;"200"
"rf";0,533959577278272;0,0287311564709011;0,00229577070281931;0,00369918815778534;"1"
"rf";0,522473472755781;0,0272587175766491;0,00401024068717526;0,00818840434263569;"2"
"rf";0,5242109866012;0,031088622491833;0,00363218453228593;0,00620454780594684;"3"
"glm";0,534731731469498;0,0164495028488919;0,00281563434372751;0,00278090173826239;"none"
"lda";0,534763909607071;0,0164600633020334;0,00274705161113011;0,00253955606411923;"none"
"qda";0,529358752633533;0,0072909599457632;0,00380129241722091;0,00999948591598915;"none"
"rpart";0,519384697615563;0,0247875907234627;0,00819329961487254;0,0112429108601082;"0.000378892256820061"
"rpart";0,519931663846344;0,0256487418801363;0,00880220542518168;0,0125840629344938;"0.000390373840360063"
"rpart";0,52118649010117;0,0279885996039183;0,0066508392560056;0,00897035981150773;"0.000413337007440066"
"rpart";0,521154377176962;0,028018117976195;0,00717662665636686;0,008117861663212;"0.000447781758060072"
"rpart";0,522216162554933;0,0278480886883736;0,00561856184662089;0,00819179531828188;"0.000482226508680077"
"rpart";0,522312687651458;0,0274970873568048;0,00577033448686023;0,00807662698246255;"0.000505189675760081"
"rpart";0,522312687651458;0,0274970873568048;0,00577033448686023;0,00807662698246255;"0.000509782309176082"
"rpart";0,522023112361883;0,0267112307598683;0,00618526532500111;0,00914058155994585;"0.000516671259300083"
"rpart";0,522602179095278;0,0271045166093332;0,00705172665005049;0,0121174675306962;"0.000551116009920088"
"rpart";0,52260219462227;0,0253877221333698;0,00826899020986917;0,0137176712985247;"0.000578671810416093"
"rpart";0,523342220362296;0,0273704916805227;0,00739439729856544;0,0106719329464863;"0.000620005511160099"
"rpart";0,523760492675173;0,0288003946092297;0,00796408190657734;0,0123568203603693;"0.000642968678240103"
"rpart";0,524017911564963;0,0255314667250621;0,00972020395942333;0,0185979447644695;"0.00068889501240011"
"rpart";0,524532712079763;0,0263878844074542;0,00899129007690227;0,0172061731267076;"0.000723339763020116"
"rpart";0,524500493572012;0,0230270010318502;0,00820579280721936;0,0132910610547922;"0.000775006888950124"
"rpart";0,525015284770617;0,0219155129974039;0,00834961622604291;0,0131553562276799;"0.000826674014880132"
"rpart";0,530034450046997;0,021992714085476;0,00149632018919567;0,0112039787327098;"0.000895563516120143"
"rpart";0,529680468795902;0,0210149365592037;0,00119323098203623;0,0107027066160548;"0.00110223201984018"
"rpart";0,534056083742407;0,0178889190551995;0,0025244377638831;0,0116332596724622;"0.00129167814825021"
"rpart";0,534474359160683;0,00821527092808425;0,00214244089168493;0,0100072010644693;"0.00165334802976026"
"svmRadial";0,535407428882962;0,0146752320426221;0,00299450063295509;0,00448894095913557;"0.176103927598534; 0.25"
"svmRadial";0,534313524369986;0,0113242274663249;0,0028120978728906;0,00388240004120639;"0.176103927598534; 0.5"
"svmRadial";0,533187475878818;0,00798600640882041;0,000725940188079859;0,00347947295033572;"0.176103927598534; 1"
"svmRadial";0,532543962813724;0,00803114901720761;0,00153290394814119;0,00227595762537365;"0.176103927598534; 2"
"svmRadial";0,532093562049647;0,0054239190013652;0,000434366616115453;0,00286740291698393;"0.176103927598534; 4"
"svmRadial";0,533412663839264;0,00935982239360536;0,000987806825190626;0,000726487023793122;"0.176103927598534; 8"
"svmRadial";0,534474387109268;0,00920137101676386;0,00236337706722306;0,00379029464914502;"0.176103927598534; 16"
"svmRadial";0,533959595910662;0,00597478176695065;0,00164635785378675;0,00593382014865667;"0.176103927598534; 32"
"xgbTree";0,532608303561879;0,0349915761514709;0,00411860277448713;0,0095537533929745;"0.3; 2; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,537627363254716;0,0387695667012268;0,0066727361540524;0,0130745974212414;"0.3; 2; 0; 0.6; 1; 1; 100"
"xgbTree";0,53116045195719;0,0316131713922162;0,00436171538625503;0,0103980666600561;"0.3; 2; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,538560355342037;0,0405581870674451;0,00694222130236525;0,013963085433743;"0.3; 2; 0; 0.8; 1; 1; 100"
"xgbTree";0,530774379519674;0,0318191434780585;0,00168457143175488;0,00509732493627561;"0.3; 2; 0; 1; 1; 0.5; 100"
"xgbTree";0,536694541964304;0,0358090169111044;0,00584686288677269;0,0127692517374087;"0.3; 2; 0; 1; 1; 1; 100"
"xgbTree";0,527782315799882;0,0380513536429687;0,00248663307315843;0,00435919905510464;"0.3; 4; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,53495698153791;0,0453242900382831;0,0037765796034186;0,00853791219744308;"0.3; 4; 0; 0.6; 1; 1; 100"
"xgbTree";0,531482242649118;0,0471227784691691;0,00263098702926083;0,00582056184222326;"0.3; 4; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,53798147803794;0,0522500245052788;0,00256311180032516;0,00468482459919757;"0.3; 4; 0; 0.8; 1; 1; 100"
"xgbTree";0,525626306052906;0,0346675395531562;0,00765451883352033;0,0160309570585659;"0.3; 4; 0; 1; 1; 0.5; 100"
"xgbTree";0,53595458764844;0,0484964860030833;0,00724081509349811;0,0144621834952878;"0.3; 4; 0; 1; 1; 1; 100"
"xgbTree";0,525143997320911;0,0385151618210432;0,00451650568806647;0,00959755356779799;"0.3; 6; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,53318764046493;0,0494489186335082;0,004461669338181;0,00910223058330079;"0.3; 6; 0; 0.6; 1; 1; 100"
"xgbTree";0,518322937080779;0,0251905250417576;0,00422172948062738;0,00894077309619417;"0.3; 6; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,53309091972831;0,0496031823376538;0,0021619995939349;0,00276392354378144;"0.3; 6; 0; 0.8; 1; 1; 100"
"xgbTree";0,521186465257984;0,0313893769916105;0,00320626448594808;0,00687987728828692;"0.3; 6; 0; 1; 1; 0.5; 100"
"xgbTree";0,53804579083751;0,0606819860555315;0,0101425098108422;0,0217700423615539;"0.3; 6; 0; 1; 1; 1; 100"
