"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,507298378743772;0,00861633745263001;0,00258644469198988;0,00454644429851884;"3"
"knn";0,512924723796983;0,018178011433661;0,0014846830260308;0,00306246329015049;"5"
"knn";0,512487211113608;0,014523033128435;0,00330664020193668;0,00798213198302753;"10"
"knn";0,517238126338898;0,0199608512637478;0,00579233356957453;0,0117762895139724;"20"
"knn";0,518925875397588;0,020155460058232;0,00400487086640346;0,00698963556438131;"30"
"knn";0,520082332467786;0,0180804197390695;0,00575232293175977;0,0104628272081572;"50"
"knn";0,518800899826457;0,00786869463016964;0,00397471300298576;0,00754195971249687;"100"
"knn";0,522958285867763;0,00926474863801639;0,00407829318146477;0,00910441421691749;"200"
"rf";0,537148765039361;0,0294447242268826;0,000968889300917098;0,00156400378060112;"1"
"rf";0,526365185412621;0,0339066398785041;0,00138438962647532;0,0026139150061445;"2"
"rf";0,525364911903081;0,0327785138442942;0,00418543482548791;0,00818770965517017;"3"
"glm";0,533179139838874;0,00549511706612844;0,00207186390675058;0,00624808731878148;"none"
"lda";0,532647768716675;0,00189074952575456;0,00164198721013534;0,00384293886137822;"none"
"qda";0,512048959848964;-0,000136821686033542;0,0278579217404062;0,00515766399967424;"none"
"rpart";0,51823839691756;0,015425564860781;0,000894243550509344;0,00137960642300646;"0.000477450914695437"
"rpart";0,5190822787741;0,0159822488149978;0,000567402700603641;0,000762262256698805;"0.000491411467756707"
"rpart";0,519519888176451;0,0165394822555863;0,00132628077400088;0,00295609142020839;"0.000502579910205723"
"rpart";0,519644907710753;0,0167872510667771;0,00137386758612503;0,00288681838801031;"0.000519332573879247"
"rpart";0,519426103009578;0,0164358891565325;0,00192278089904648;0,00418978515624719;"0.000536085237552771"
"rpart";0,5224581080807;0,0204436024319737;0,00267334105642857;0,00178057770586202;"0.000558422122450803"
"rpart";0,522426850266247;0,0200726148072093;0,00268618228519128;0,00153172497478384;"0.000586343228573343"
"rpart";0,524927475422536;0,0231412725885989;0,00421678282104536;0,00494002512309715;"0.000603095892246867"
"rpart";0,526083944216246;0,0233465472532361;0,00354415463766897;0,00565652524075813;"0.000647769662042932"
"rpart";0,526396545807807;0,023209083546235;0,00438067082695568;0,00665342587566871;"0.000683508677879783"
"rpart";0,526396545807807;0,023209083546235;0,00438067082695568;0,00665342587566871;"0.000692443431838996"
"rpart";0,526396545807807;0,023209083546235;0,00438067082695568;0,00665342587566871;"0.000696910808818602"
"rpart";0,527084217725786;0,0246291649524615;0,00469694318991099;0,00714887547137239;"0.000703611874288012"
"rpart";0,527052954049577;0,0273404811670404;0,00449228072287104;0,0099825049996663;"0.00073711720163506"
"rpart";0,524458546657293;0,023803461139786;0,00259977988402982;0,00512665792433589;"0.000848801626125221"
"rpart";0,524458546657293;0,023803461139786;0,00259977988402982;0,00512665792433589;"0.000871138511023253"
"rpart";0,530334980604035;0,0313127052335878;0,00804295087175107;0,0141851778096262;"0.00100515982041145"
"rpart";0,532991739496055;0,0271524390115581;0,00421720613188053;0,00642208924573617;"0.00120619178449373"
"rpart";0,532991739496055;0,0271524390115581;0,00421720613188053;0,00642208924573617;"0.00122852866939177"
"rpart";0,531428924976204;0,00919090481350178;0,00489118619753659;0,00980340659967637;"0.00212200406531305"
"svmRadial";0,534585756143677;0,0141456993583704;0,00204333448320988;0,00396908331568366;"0.196223392593334; 0.25"
"svmRadial";0,536712303075769;0,0166427357465422;0,00245338999473948;0,00852475001703685;"0.196223392593334; 0.5"
"svmRadial";0,534554492467468;0,013244896814641;0,0018108326805596;0,00343363681100991;"0.196223392593334; 1"
"svmRadial";0,534398262012761;0,0138435008906493;0,0033447876260775;0,002064899628221;"0.196223392593334; 2"
"svmRadial";0,533945986496624;0,00987896714319631;0,00145877242930461;0,00321150537187182;"0.196223392593334; 4"
"svmRadial";0,534366963166014;0,0107621267412545;0,00201780990576283;0,00280596186283183;"0.196223392593334; 8"
"xgbTree";0,535429670239876;0,0415627297771423;0,00746610051824978;0,0160528810344167;"0.3; 2; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,537211216188951;0,0418104022500945;0,00307876600182887;0,00573415904641011;"0.3; 2; 0; 0.6; 1; 1; 100"
"xgbTree";0,537648764042863;0,0469784648874085;0,00343831056868824;0,00666999754761995;"0.3; 2; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,538680324675637;0,0448230403020872;0,00259888542613205;0,00457582053361939;"0.3; 2; 0; 0.8; 1; 1; 100"
"xgbTree";0,535148261983452;0,0418501713123125;0,00161724151454754;0,00439762561033982;"0.3; 2; 0; 1; 1; 0.5; 100"
"xgbTree";0,541399569887784;0,0508202315586986;0,00427008285069615;0,00831833039297616;"0.3; 2; 0; 1; 1; 1; 100"
"xgbTree";0,534679447522453;0,0513833271598244;0,00344343933498682;0,00728836967276985;"0.3; 4; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,538492669346427;0,0536776180883393;0,00369653218231105;0,00788826527562661;"0.3; 4; 0; 0.6; 1; 1; 100"
"xgbTree";0,53136614849915;0,045374594310719;0,00243490663464544;0,0046045280734203;"0.3; 4; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,538680057965734;0,0542173499287826;0,00773288708250637;0,0159324608209818;"0.3; 4; 0; 0.8; 1; 1; 100"
"xgbTree";0,530897445411517;0,0425782925029039;0,00420661200680347;0,0074392326233019;"0.3; 4; 0; 1; 1; 0.5; 100"
"xgbTree";0,538117414374691;0,0537827410287184;0,00854542497763946;0,0179792091361934;"0.3; 4; 0; 1; 1; 1; 100"
"xgbTree";0,524052001631444;0,0354925944649176;0,00525963326227669;0,0107734661816696;"0.3; 6; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,539993009269664;0,0630134573113673;0,00388345298728681;0,00863406351046035;"0.3; 6; 0; 0.6; 1; 1; 100"
"xgbTree";0,528209422843287;0,044542849022477;0,00478118574163063;0,00915184923114347;"0.3; 6; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,542274756452826;0,0675179519711192;0,00322430641808012;0,00673806987252625;"0.3; 6; 0; 0.8; 1; 1; 100"
"xgbTree";0,527115235208239;0,0420650852095304;0,00407387966086637;0,00872194936513005;"0.3; 6; 0; 1; 1; 0.5; 100"
