"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,769153459113952;0,53481509603594;0,00470116804322476;0,00929373969665112;"3"
"knn";0,755331337863935;0,506921205283168;0,00234579695292496;0,00433643465862462;"5"
"knn";0,727938439281838;0,451275042669639;0,0040382616973931;0,0082463945234344;"10"
"knn";0,705069220793252;0,404946704199668;0,00446874033447021;0,00893230084096526;"20"
"knn";0,691354858138924;0,376556292568554;0,00227305858561435;0,00436285356786416;"30"
"knn";0,67598898972962;0,344579099870059;0,00389129750379844;0,00755120875736778;"50"
"knn";0,650211518828153;0,291004549401294;0,00743763828610117;0,0162060700194437;"100"
"knn";0,629496393391301;0,247358715087292;0,00657690667094253;0,0140683504393744;"200"
"rf";0,867200231611183;0,731498817111887;0,00765966918656664;0,0157417863744631;"1"
"rf";0,896747219378125;0,791613414751967;0,00645147225706124;0,013299961083347;"2"
"rf";0,905722523955571;0,809795588056172;0,0062334018198474;0,0127336793105828;"3"
"glm";0,579988547821546;0,134816694640501;0,00371269033058526;0,0054155019348769;"none"
"lda";0,580670670907561;0,136069905681112;0,00305555619553083;0,0040385369574212;"none"
"qda";0,556473067775505;0,12422751624009;0,0025792521156236;0,00315712947682256;"none"
"rpart";0,692683057171722;0,373533714709998;0,00546003533719496;0,00752829766300852;"0.00224074219671358"
"rpart";0,687297845810276;0,362150823610135;0,00502566122075948;0,00775091648512344;"0.00243729852975863"
"rpart";0,682666391653521;0,353776506363764;0,00911818638988255;0,0156755790199538;"0.00259454359619467"
"rpart";0,681876587309597;0,351976077082056;0,0087743352434847;0,0150100585755409;"0.00283041119584873"
"rpart";0,681517585335086;0,351325239238584;0,00868502740638964;0,0149233261572387;"0.00290903372906675"
"rpart";0,680009777042141;0,349045819787498;0,00879347450177015;0,0152856438010208;"0.00294834499567576"
"rpart";0,678466068551744;0,346067387154136;0,00650848193112197;0,0110014758872535;"0.00298765626228477"
"rpart";0,676204356112326;0,34339722281748;0,00336821558668384;0,00692733311802682;"0.00306627879550279"
"rpart";0,673332266845348;0,336316276671237;0,00392223619204742;0,00713246223366514;"0.00322352386193883"
"rpart";0,638867412187398;0,255703723831672;0,0338815951312953;0,0813026743339222;"0.00373457032785596"
"rpart";0,636138811570443;0,250784063475613;0,0317963043558165;0,0775758681808567;"0.00400974919411903"
"rpart";0,636138811570443;0,250784063475613;0,0317963043558165;0,0775758681808567;"0.00427182430484577"
"rpart";0,635456634347982;0,249744515474832;0,0314801444975929;0,0770783611852785;"0.00444217312681815"
"rpart";0,635205332965824;0,249438717400711;0,03117111134049;0,0767073732610416;"0.00476452551301203"
"rpart";0,633553923883074;0,24636079782015;0,0292204233561082;0,0730822759505197;"0.0050318421259533"
"rpart";0,609069776542539;0,186051863852142;0,0262725698633781;0,0622309943438635;"0.00904159132007233"
"rpart";0,577618554756424;0,105676270238555;0,0118929400455523;0,0310704281169169;"0.0162748643761302"
"rpart";0,577618554756424;0,105676270238555;0,0118929400455523;0,0310704281169169;"0.0169824671750924"
"rpart";0,561857598564487;0,0659177821740291;0,0181273716485735;0,0574581815834675;"0.0254737007626386"
"rpart";0,549759232023471;0,0307838527521887;0,0110513558702091;0,0533191970195099;"0.0281468668920513"
